timestamp,old_name,new_name
2026-02-04T17:22:52,Calorie Posting in Chain Restaurants.pdf,Calorie Posting in Chain Restaurants†.pdf
2026-02-04T17:22:52,dissertation.pdf,"films the text directly from the original or copy submitted. Thus, some.pdf"
2026-02-04T17:22:52,Incomplete Disclosure Evidence of Signaling and Countersignaling.pdf,Incomplete Disclosure Evidence of Signaling and Countersignaling†.pdf
2026-02-04T17:22:52,Information_Entrepreneurs_and_Competitio.pdf,INFORMATION ENTREPRENEURS AND COMPETITION IN PROCUREMENT AUCTIONS∗.pdf
2026-02-04T17:22:52,JEH3.05-PRINT-REV.indd.pdf,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations.pdf
2026-02-04T17:22:52,Nearly Optimal Pricing for Multiproduct Firms.pdf,NEARLY OPTIMAL PRICING FOR MULTIPRODUCT FIRMS Chenghuan Sean Chu.pdf
2026-02-04T17:22:52,pe.dvi.pdf,Managerial Incentives and Strategic Change Evidence from Private Equity∗.pdf
2026-02-04T17:22:52,THE WELFARE EFFECTS OF TICKET RESALE.pdf,THE WELFARE EFFECTS OF TICKET RESALE Phillip Leslie.pdf
2026-02-04T17:22:52,Ticket Resale.pdf,Leslie and Sorensen Ticket Resale.pdf
2026-02-04T17:24:04,Calorie Posting in Chain Restaurants†.pdf,Calorie Posting in Chain Restaurants †.pdf
2026-02-04T17:24:04,"films the text directly from the original or copy submitted. Thus, some.pdf",INFORMATION TO USERS.pdf
2026-02-04T17:24:04,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations.pdf,Impact of Restaurant Hygiene Grade Cards.pdf
2026-02-04T17:24:04,Incomplete Disclosure Evidence of Signaling and Countersignaling†.pdf,Incomplete Disclosure Evidence of Signaling and.pdf
2026-02-04T17:24:04,INCOMPLEX ALTERNATIVES TO MIXED BUNDLING∗.pdf,INCOMPLEX ALTERNATIVES TO MIXED BUNDLING.pdf
2026-02-04T17:24:04,INFORMATION ENTREPRENEURS AND COMPETITION IN PROCUREMENT AUCTIONS∗.pdf,INFORMATION ENTREPRENEURS AND COMPETITION.pdf
2026-02-04T17:24:04,Managerial Incentives and Strategic Change Evidence from Private Equity∗.pdf,Managerial Incentives and Strategic Change Evidence.pdf
2026-02-04T17:24:04,NEARLY OPTIMAL PRICING FOR MULTIPRODUCT FIRMS Chenghuan Sean Chu.pdf,NEARLY OPTIMAL PRICING FOR MULTIPRODUCT FIRMS.pdf
2026-02-04T17:24:04,THE WELFARE EFFECTS OF TICKET RESALE Phillip Leslie.pdf,THE WELFARE EFFECTS OF TICKET RESALE.pdf
2026-02-04T17:27:29,Impact of Restaurant Hygiene Grade Cards.pdf,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations in Los Angeles County.pdf
2026-02-04T17:27:29,Incomplete Disclosure Evidence of Signaling and.pdf,Incomplete Disclosure Evidence of Signaling and Countersignaling †.pdf
2026-02-04T17:27:29,INCOMPLEX ALTERNATIVES TO MIXED BUNDLING.pdf,INCOMPLEX ALTERNATIVES TO MIXED BUNDLING ∗.pdf
2026-02-04T17:27:29,INFORMATION ENTREPRENEURS AND COMPETITION.pdf,INFORMATION ENTREPRENEURS AND COMPETITION IN PROCUREMENT AUCTIONS ∗.pdf
2026-02-04T17:27:29,INFORMATION TO USERS.pdf,"films the text directly from the original or copy submitted. Thus, some.pdf"
2026-02-04T17:27:29,Leslie and Sorensen Ticket Resale.pdf,Ticket Resale.pdf
2026-02-04T17:27:29,Managerial Incentives and Strategic Change Evidence.pdf,Managerial Incentives and Strategic Change Evidence from Private Equity ∗.pdf
2026-02-04T17:27:29,NEARLY OPTIMAL PRICING FOR MULTIPRODUCT FIRMS.pdf,NEARLY OPTIMAL PRICING FOR MULTIPRODUCT FIRMS Chenghuan Sean Chu Phillip Leslie Alan Sorensen.pdf
2026-02-04T17:27:29,THE WELFARE EFFECTS OF TICKET RESALE.pdf,THE WELFARE EFFECTS OF TICKET RESALE Phillip Leslie Alan Sorensen.pdf
